"Project";"Task";"Date";"Start";"End";"Duration";"Comment"
"Alan Hoist";"Meeting";"2013-11-06";"2013-11-06 13:30:00";"2013-11-06 14:00:00";"00:30:00";"initial meeting"
"Alan Hoist";"Meeting";"2013-11-19";"2013-11-19 08:15:00";"2013-11-19 10:00:00";"01:45:00";""
"Alan Hoist";"Planning";"2013-11-13";"2013-11-13 14:30:00";"2013-11-13 14:45:00";"00:15:00";"respond to email"
"Alan Hoist";"Programming";"2013-11-07";"2013-11-07 19:15:00";"2013-11-07 20:30:00";"01:15:00";"setup hosting accounts 
repointing on my server
repoint DNS at Go Daddy"
"Alan Hoist";"Programming";"2013-11-12";"2013-11-12 13:15:00";"2013-11-12 14:00:00";"00:45:00";"call alan back
find websites to view
send email to alan"
"Alan Hoist";"Research";"2013-11-06";"2013-11-06 19:00:00";"2013-11-06 19:45:00";"00:44:59";"research / check emails / check access"
"Alan Hoist";"Research";"2013-11-08";"2013-11-08 12:00:00";"2013-11-08 13:15:00";"01:15:00";""
"Alan Hoist";"Research";"2013-11-19";"2013-11-19 17:00:00";"2013-11-19 17:45:00";"00:44:59";"allowing others to use his video conferencing login
check artists"
"PhotoOps";"meeting";"2013-08-22";"2013-08-22 08:30:00";"2013-08-22 13:30:00";"05:00:00";"meet with Michael in Marina del Rey"
"PhotoOps";"meeting";"2013-08-28";"2013-08-28 10:00:00";"2013-08-28 11:30:00";"01:30:00";""
"PhotoOps";"meeting";"2013-09-20";"2013-09-20 17:00:00";"2013-09-20 17:30:00";"00:30:00";""
"PhotoOps";"meeting";"2013-09-25";"2013-09-25 17:30:00";"2013-09-25 18:30:00";"01:00:00";""
"PhotoOps";"meeting";"2013-09-28";"2013-09-28 10:00:00";"2013-09-28 11:00:00";"01:00:00";""
"PhotoOps";"meeting";"2013-10-02";"2013-10-02 17:00:00";"2013-10-02 17:30:00";"00:30:00";""
"PhotoOps";"meeting";"2013-10-05";"2013-10-05 10:00:00";"2013-10-05 11:00:00";"01:00:00";""
"PhotoOps";"meeting";"2013-10-09";"2013-10-09 17:00:00";"2013-10-09 18:00:00";"01:00:00";""
"PhotoOps";"meeting";"2013-10-12";"2013-10-12 10:00:00";"2013-10-12 11:30:00";"01:30:00";""
"PhotoOps";"meeting";"2013-10-14";"2013-10-14 12:00:00";"2013-10-14 12:45:00";"00:45:00";""
"PhotoOps";"meeting";"2013-10-16";"2013-10-16 17:45:00";"2013-10-16 18:15:00";"00:30:00";""
"PhotoOps";"meeting";"2013-10-18";"2013-10-18 17:30:00";"2013-10-18 17:45:00";"00:15:00";"READ SOW"
"PhotoOps";"meeting";"2013-10-19";"2013-10-19 10:00:00";"2013-10-19 11:15:00";"01:15:00";""
"PhotoOps";"meeting";"2013-10-26";"2013-10-26 10:00:00";"2013-10-26 10:15:00";"00:15:00";""
"PhotoOps";"meeting";"2013-10-30";"2013-10-30 11:30:00";"2013-10-30 12:15:00";"00:45:00";"RE PO Verifier
"
"PhotoOps";"meeting";"2013-11-02";"2013-11-02 10:00:00";"2013-11-02 10:15:00";"00:15:00";""
"PhotoOps";"meeting";"2013-11-02";"2013-11-02 09:45:00";"2013-11-02 10:00:00";"00:15:00";"prepare for meeting"
"PhotoOps";"meeting";"2013-11-04";"2013-11-04 17:45:00";"2013-11-04 18:15:00";"00:29:59";""
"PhotoOps";"meeting";"2013-11-07";"2013-11-07 08:00:00";"2013-11-07 08:30:00";"00:30:00";""
"PhotoOps";"meeting";"2013-11-09";"2013-11-09 10:00:00";"2013-11-09 10:15:00";"00:15:00";""
"PhotoOps";"meeting";"2013-11-13";"2013-11-13 17:00:00";"2013-11-13 17:30:00";"00:30:00";""
"PhotoOps";"meeting";"2013-11-16";"2013-11-16 10:00:00";"2013-11-16 10:15:00";"00:15:00";"sat am check in"
"PhotoOps";"meeting";"2013-11-16";"2013-11-16 10:30:00";"2013-11-16 13:30:00";"02:59:59";"meet for lunch @ bake n broil"
"PhotoOps";"meeting";"2013-11-20";"2013-11-20 17:30:00";"2013-11-20 17:45:00";"00:15:00";"reality check"
"PhotoOps";"meeting";"2013-11-30";"2013-11-30 10:00:00";"2013-11-30 10:15:00";"00:15:01";""
"PhotoOps";"meeting";"2013-12-04";"2013-12-04 17:00:00";"2013-12-04 17:30:00";"00:30:00";""
"PhotoOps";"Planning";"2013-08-23";"2013-08-23 09:00:00";"2013-08-23 10:15:00";"01:14:59";""
"PhotoOps";"Planning";"2013-08-23";"2013-08-23 11:30:00";"2013-08-23 13:15:00";"01:45:00";""
"PhotoOps";"Planning";"2013-09-16";"2013-09-16 12:15:00";"2013-09-16 13:30:00";"01:15:00";"brainstorm fields for DB"
"PhotoOps";"Planning";"2013-09-17";"2013-09-17 10:30:00";"2013-09-17 11:00:00";"00:30:00";""
"PhotoOps";"Planning";"2013-09-18";"2013-09-18 18:15:00";"2013-09-18 18:45:01";"00:30:00";""
